"ticker","datetime","open","high","low","close","average","volume","barcount"
GOOG,2023-05-01 12:55:30.000,108.21,108.22,108.21,108.22,108.211,2100,5
GOOG,2023-05-01 12:55:40.000,108.22,108.24,108.22,108.24,108.225,2350,20
GOOG,2023-05-01 12:55:50.000,108.24,108.27,108.24,108.25,108.254,9701,59
GOOG,2023-05-01 12:56:00.000,108.24,108.27,108.24,108.27,108.26,3477,25
GOOG,2023-05-01 12:56:10.000,108.28,108.28,108.26,108.27,108.267,7577,30
GOOG,2023-05-01 12:56:20.000,108.28,108.28,108.24,108.25,108.271,14745,26
GOOG,2023-05-01 12:56:30.000,108.25,108.27,108.24,108.27,108.259,1555,14
GOOG,2023-05-01 12:56:40.000,108.26,108.27,108.25,108.25,108.26,2204,10
GOOG,2023-05-01 12:56:50.000,108.25,108.26,108.24,108.26,108.25,1884,18
GOOG,2023-05-01 12:57:00.000,108.26,108.27,108.25,108.25,108.258,1539,11
GOOG,2023-05-01 12:57:10.000,108.25,108.25,108.22,108.23,108.232,10418,30
GOOG,2023-05-01 12:57:20.000,108.24,108.24,108.23,108.24,108.239,2189,17
GOOG,2023-05-01 12:57:30.000,108.26,108.26,108.25,108.26,108.255,266,2
GOOG,2023-05-01 12:57:40.000,108.26,108.26,108.23,108.26,108.249,3708,30
GOOG,2023-05-01 12:57:50.000,108.26,108.26,108.25,108.26,108.256,682,4
GOOG,2023-05-01 12:58:00.000,108.25,108.28,108.25,108.28,108.26,4932,18
GOOG,2023-05-01 12:58:10.000,108.29,108.29,108.27,108.29,108.283,5115,31
GOOG,2023-05-01 12:58:20.000,108.3,108.31,108.29,108.31,108.298,16298,89
GOOG,2023-05-01 12:58:30.000,108.31,108.31,108.3,108.31,108.304,1757,6
GOOG,2023-05-01 12:58:40.000,108.3,108.31,108.29,108.31,108.301,2123,14
GOOG,2023-05-01 12:58:50.000,108.31,108.34,108.31,108.34,108.318,4440,35
GOOG,2023-05-01 12:59:00.000,108.34,108.34,108.32,108.34,108.33,3750,32
GOOG,2023-05-01 12:59:10.000,108.33,108.35,108.32,108.34,108.332,3980,29
GOOG,2023-05-01 12:59:20.000,108.35,108.36,108.34,108.36,108.349,14082,55
GOOG,2023-05-01 12:59:30.000,108.35,108.37,108.34,108.36,108.355,3145,18
GOOG,2023-05-01 12:59:40.000,108.36,108.36,108.34,108.34,108.347,3424,14
GOOG,2023-05-01 12:59:50.000,108.33,108.35,108.32,108.34,108.334,2572,17
GOOG,2023-05-01 13:00:00.000,108.34,108.34,108.31,108.32,108.331,1938,15
GOOG,2023-05-01 13:00:10.000,108.32,108.36,108.32,108.35,108.342,6661,42
GOOG,2023-05-01 13:00:20.000,108.34,108.34,108.32,108.33,108.326,5806,24
GOOG,2023-05-01 13:00:30.000,108.33,108.33,108.31,108.33,108.321,2351,19
GOOG,2023-05-01 13:00:40.000,108.32,108.33,108.32,108.33,108.323,1400,5
GOOG,2023-05-01 13:00:50.000,108.33,108.34,108.32,108.33,108.332,4574,40
GOOG,2023-05-01 13:01:00.000,108.33,108.35,108.32,108.34,108.34,1947,15
GOOG,2023-05-01 13:01:10.000,108.34,108.38,108.33,108.37,108.349,2320,17
GOOG,2023-05-01 13:01:20.000,108.38,108.38,108.36,108.36,108.375,3429,14
GOOG,2023-05-01 13:01:30.000,108.36,108.36,108.34,108.34,108.349,3121,14
GOOG,2023-05-01 13:01:40.000,108.34,108.35,108.32,108.34,108.335,3846,25
GOOG,2023-05-01 13:01:50.000,108.34,108.36,108.32,108.35,108.339,7337,43
GOOG,2023-05-01 13:02:00.000,108.36,108.37,108.34,108.37,108.361,1250,12
GOOG,2023-05-01 13:02:10.000,108.36,108.38,108.35,108.37,108.366,2900,20
GOOG,2023-05-01 13:02:20.000,108.38,108.39,108.37,108.38,108.38,1858,15
GOOG,2023-05-01 13:02:30.000,108.38,108.38,108.33,108.34,108.352,8290,52
GOOG,2023-05-01 13:02:40.000,108.33,108.33,108.31,108.32,108.323,2340,14
GOOG,2023-05-01 13:02:50.000,108.31,108.32,108.3,108.32,108.311,3522,21
GOOG,2023-05-01 13:03:00.000,108.3,108.3,108.28,108.29,108.296,4782,29
GOOG,2023-05-01 13:03:10.000,108.28,108.3,108.28,108.29,108.287,2009,11
GOOG,2023-05-01 13:03:20.000,108.29,108.29,108.27,108.28,108.286,2416,17
GOOG,2023-05-01 13:03:30.000,108.27,108.27,108.24,108.25,108.257,2991,27
GOOG,2023-05-01 13:03:40.000,108.25,108.25,108.24,108.25,108.249,1371,9
GOOG,2023-05-01 13:03:50.000,108.25,108.28,108.25,108.28,108.267,4153,21
GOOG,2023-05-01 13:04:00.000,108.28,108.28,108.24,108.25,108.261,4503,28
GOOG,2023-05-01 13:04:10.000,108.24,108.24,108.21,108.22,108.227,12261,75
GOOG,2023-05-01 13:04:20.000,108.21,108.24,108.2,108.23,108.21,2885,21
GOOG,2023-05-01 13:04:30.000,108.23,108.25,108.22,108.23,108.233,4599,29
GOOG,2023-05-01 13:04:40.000,108.24,108.25,108.24,108.25,108.242,2013,18
GOOG,2023-05-01 13:04:50.000,108.24,108.25,108.23,108.24,108.24,1500,10
GOOG,2023-05-01 13:05:00.000,108.23,108.24,108.22,108.23,108.226,4488,14
GOOG,2023-05-01 13:05:10.000,108.23,108.24,108.23,108.24,108.236,1233,9
GOOG,2023-05-01 13:05:20.000,108.24,108.26,108.24,108.26,108.253,2068,11
GOOG,2023-05-01 13:05:30.000,108.27,108.3,108.27,108.29,108.282,3695,18
GOOG,2023-05-01 13:05:40.000,108.29,108.3,108.28,108.29,108.29,4095,24
